hazard_exposure,vulnerability,population,accessibility,risk_score,risk_level,priority
29.6,High,4536,Moderate,57.77,Moderate,Medium-Term
77.6,Very High,1619,Good,67.06,High,Short-Term
36.4,Moderate,2727,Poor,44.41,Moderate,Medium-Term
96.7,Very High,1655,Poor,84.65,Critical,Immediate
76.6,Moderate,2419,Moderate,57.55,Moderate,Medium-Term
32.2,Low,4386,Poor,42.13,Moderate,Medium-Term
83.5,Moderate,1563,Good,48.71,Moderate,Medium-Term
48.5,Low,360,Poor,40.93,Moderate,Medium-Term
38.9,Very High,4407,Poor,75.71,High,Short-Term
25.6,High,1908,Poor,55.33,Moderate,Medium-Term
1.3,Moderate,4125,Good,34.44,Low,Monitor
63.9,High,4671,Poor,83.31,Critical,Immediate
41.6,High,577,Poor,48.37,Moderate,Medium-Term
4.1,Low,2589,Good,29.4,Low,Monitor
96.1,Low,929,Poor,53.3,Moderate,Medium-Term
38.5,Moderate,4410,Poor,54.85,Moderate,Medium-Term
62.5,Moderate,4674,Poor,69.25,High,Short-Term
74.6,High,3857,Poor,79.43,High,Short-Term
88.3,Moderate,1577,Poor,63.38,High,Short-Term
33.8,Moderate,4473,Poor,56.56,Moderate,Medium-Term
35.2,High,4606,Moderate,66.26,High,Short-Term
41.2,Very High,2749,Poor,62.52,High,Short-Term
54.6,Very High,4607,Poor,74.86,High,Short-Term
96.2,Very High,3352,Good,82.2,Critical,Immediate
98.3,Low,4340,Good,70.15,High,Short-Term
30.2,High,1917,Good,49.43,Moderate,Medium-Term
2.2,High,4635,Poor,55.46,Moderate,Medium-Term
92.6,Moderate,872,Good,53.27,Moderate,Medium-Term
15.6,High,3107,Poor,49.14,Moderate,Medium-Term
25.6,High,852,Poor,46.02,Moderate,Medium-Term
91.8,Low,2759,Moderate,52.94,Moderate,Medium-Term
82.6,Low,4976,Poor,65.87,High,Short-Term
73.1,Very High,742,Good,66.8,High,Short-Term
33.4,Very High,3512,Good,63.16,High,Short-Term
22.7,Low,3233,Good,28.26,Low,Monitor
4.1,Moderate,2777,Poor,43.45,Moderate,Medium-Term
15.3,Very High,3750,Poor,62.8,High,Short-Term
9.0,Very High,2473,Moderate,43.41,Moderate,Medium-Term
33.6,Very High,4781,Poor,64.92,High,Short-Term
39.9,Low,3364,Poor,46.62,Moderate,Medium-Term
69.8,Moderate,4039,Poor,63.51,High,Short-Term
39.5,Moderate,4697,Poor,68.31,High,Short-Term
52.4,Moderate,686,Moderate,48.01,Moderate,Medium-Term
32.3,Low,1021,Poor,34.26,Low,Monitor
36.5,Moderate,2727,Moderate,47.68,Moderate,Medium-Term
2.4,High,1486,Moderate,38.64,Low,Monitor
99.0,Very High,1294,Moderate,68.55,High,Short-Term
81.8,Moderate,3162,Good,63.4,High,Short-Term
85.3,Low,546,Good,49.72,Moderate,Medium-Term
92.7,High,212,Moderate,66.39,High,Short-Term
11.1,Very High,3959,Good,48.53,Moderate,Medium-Term
74.0,Moderate,1769,Poor,61.1,High,Short-Term
25.9,Very High,1257,Poor,58.52,Moderate,Medium-Term
1.8,Low,2192,Good,12.86,Low,Monitor
20.1,High,534,Moderate,41.65,Moderate,Medium-Term
0.8,Very High,2322,Poor,56.45,Moderate,Medium-Term
66.0,Low,256,Moderate,45.0,Moderate,Medium-Term
64.9,Moderate,3218,Poor,70.97,High,Short-Term
10.0,High,4070,Poor,55.53,Moderate,Medium-Term
18.6,Very High,4693,Poor,58.87,Moderate,Medium-Term
24.7,High,2832,Moderate,48.26,Moderate,Medium-Term
15.7,High,2982,Moderate,49.42,Moderate,Medium-Term
23.6,High,607,Poor,42.06,Moderate,Medium-Term
38.7,Low,4646,Moderate,42.74,Moderate,Medium-Term
34.2,Very High,1224,Good,52.05,Moderate,Medium-Term
52.1,Moderate,3518,Good,51.48,Moderate,Medium-Term
42.6,High,2797,Moderate,56.78,Moderate,Medium-Term
20.7,Moderate,4859,Poor,57.37,Moderate,Medium-Term
20.2,Moderate,2631,Poor,48.62,Moderate,Medium-Term
52.4,Moderate,3623,Good,53.33,Moderate,Medium-Term
56.5,Moderate,2700,Good,49.5,Moderate,Medium-Term
94.9,Low,1608,Moderate,60.08,High,Short-Term
14.6,Low,2710,Moderate,38.33,Low,Monitor
30.3,High,1344,Good,35.19,Low,Monitor
18.5,High,4745,Poor,56.39,Moderate,Medium-Term
23.2,Low,3043,Good,33.8,Low,Monitor
47.7,Very High,3163,Good,66.48,High,Short-Term
49.1,Moderate,1441,Good,36.57,Low,Monitor
40.9,Low,2310,Moderate,34.11,Low,Monitor
67.1,Moderate,1775,Good,43.42,Moderate,Medium-Term
95.5,Very High,4113,Poor,88.33,Critical,Immediate
45.8,Moderate,3602,Moderate,57.36,Moderate,Medium-Term
60.8,Very High,2663,Moderate,69.71,High,Short-Term
74.2,Low,4365,Good,53.16,Moderate,Medium-Term
82.7,Low,2112,Poor,58.25,Moderate,Medium-Term
98.4,Low,4668,Moderate,68.37,High,Short-Term
63.1,Low,1655,Moderate,42.73,Moderate,Medium-Term
88.4,High,3879,Good,70.72,High,Short-Term
61.3,Low,4335,Good,48.72,Moderate,Medium-Term
64.6,Low,4201,Good,44.79,Moderate,Medium-Term
58.5,Moderate,3320,Moderate,53.43,Moderate,Medium-Term
2.5,Very High,4935,Poor,68.2,High,Short-Term
88.3,Low,2148,Moderate,57.57,Moderate,Medium-Term
90.7,Moderate,1112,Good,48.02,Moderate,Medium-Term
44.9,High,798,Poor,57.48,Moderate,Medium-Term
72.7,Moderate,3202,Poor,64.09,High,Short-Term
76.8,High,4732,Poor,86.86,Critical,Immediate
16.2,Moderate,1565,Poor,32.5,Low,Monitor
30.8,Very High,2465,Poor,56.78,Moderate,Medium-Term
89.9,Moderate,128,Poor,63.98,High,Short-Term
1.2,Very High,4184,Poor,63.33,High,Short-Term
60.8,Very High,2048,Good,62.39,High,Short-Term
47.6,Very High,3719,Good,64.66,High,Short-Term
0.7,High,4667,Good,37.19,Low,Monitor
14.8,High,400,Good,37.94,Low,Monitor
66.7,High,2812,Good,52.87,Moderate,Medium-Term
41.7,Moderate,1421,Poor,44.58,Moderate,Medium-Term
66.1,Moderate,3830,Poor,67.46,High,Short-Term
93.1,Low,2551,Moderate,55.69,Moderate,Medium-Term
37.9,Low,3600,Poor,40.95,Moderate,Medium-Term
47.1,Low,2348,Moderate,41.31,Moderate,Medium-Term
52.5,Moderate,576,Good,39.82,Low,Monitor
97.9,Low,4062,Poor,73.78,High,Short-Term
93.4,High,3598,Poor,87.89,Critical,Immediate
26.0,High,1162,Poor,50.0,Moderate,Medium-Term
52.0,Very High,4134,Good,72.38,High,Short-Term
23.3,High,1685,Good,34.29,Low,Monitor
46.5,Low,1798,Poor,51.7,Moderate,Medium-Term
41.4,High,2964,Poor,66.5,High,Short-Term
21.2,Moderate,2407,Moderate,44.19,Moderate,Medium-Term
30.8,High,150,Good,39.85,Low,Monitor
34.1,Low,1538,Good,25.88,Low,Monitor
33.8,Very High,3987,Good,61.61,High,Short-Term
48.1,Very High,4498,Moderate,70.23,High,Short-Term
81.4,Low,4368,Moderate,62.0,High,Short-Term
67.8,Low,1806,Poor,54.17,Moderate,Medium-Term
80.0,High,642,Good,52.56,Moderate,Medium-Term
3.1,Very High,4476,Good,51.63,Moderate,Medium-Term
39.0,Low,2625,Poor,50.13,Moderate,Medium-Term
71.0,High,3490,Good,64.26,High,Short-Term
23.8,Very High,2579,Good,50.55,Moderate,Medium-Term
17.5,High,406,Good,39.86,Low,Monitor
44.4,Low,4053,Poor,46.47,Moderate,Medium-Term
34.0,Very High,4389,Moderate,69.87,High,Short-Term
14.3,Low,4328,Poor,50.45,Moderate,Medium-Term
20.5,Low,3863,Moderate,41.05,Moderate,Medium-Term
52.2,Low,2647,Good,42.35,Moderate,Medium-Term
59.4,Low,2830,Moderate,53.34,Moderate,Medium-Term
10.3,High,284,Poor,44.13,Moderate,Medium-Term
63.9,Moderate,2728,Good,46.36,Moderate,Medium-Term
27.7,High,3713,Poor,53.68,Moderate,Medium-Term
14.9,High,1037,Good,42.19,Moderate,Medium-Term
56.0,Low,1792,Poor,44.63,Moderate,Medium-Term
31.8,Moderate,2420,Poor,44.48,Moderate,Medium-Term
7.1,High,4528,Moderate,43.41,Moderate,Medium-Term
2.9,Low,967,Moderate,12.74,Low,Monitor
42.6,Moderate,4983,Poor,64.66,High,Short-Term
69.0,Very High,3013,Moderate,69.52,High,Short-Term
19.8,Low,3914,Poor,36.95,Low,Monitor
81.3,Very High,896,Moderate,65.01,High,Short-Term
64.4,Very High,3954,Good,77.02,High,Short-Term
14.4,High,3077,Moderate,42.28,Moderate,Medium-Term
91.7,High,2760,Moderate,72.94,High,Short-Term
6.5,Low,2979,Moderate,28.57,Low,Monitor
17.1,High,4807,Good,50.84,Moderate,Medium-Term
40.6,Low,2769,Poor,47.93,Moderate,Medium-Term
79.2,Very High,3383,Poor,81.12,Critical,Immediate
62.1,Moderate,4051,Moderate,53.5,Moderate,Medium-Term
20.8,Very High,3666,Poor,67.79,High,Short-Term
54.5,Moderate,1517,Poor,55.6,Moderate,Medium-Term
73.9,Very High,1036,Poor,72.8,High,Short-Term
32.5,Low,3747,Good,33.79,Low,Monitor
40.6,Low,4985,Moderate,46.39,Moderate,Medium-Term
64.5,Low,841,Good,41.51,Moderate,Medium-Term
88.7,Low,1301,Poor,50.89,Moderate,Medium-Term
53.1,Very High,4834,Moderate,69.05,High,Short-Term
68.2,High,2555,Poor,74.05,High,Short-Term
68.0,Very High,2920,Good,68.3,High,Short-Term
61.1,Very High,1144,Moderate,54.96,Moderate,Medium-Term
90.1,Low,106,Poor,53.17,Moderate,Medium-Term
97.9,Low,2411,Good,50.17,Moderate,Medium-Term
70.2,Very High,2706,Poor,74.76,High,Short-Term
38.2,Moderate,1520,Moderate,36.18,Low,Monitor
55.5,High,3517,Good,55.61,Moderate,Medium-Term
87.3,Moderate,1200,Good,46.5,Moderate,Medium-Term
1.6,Very High,3677,Good,40.12,Moderate,Medium-Term
64.2,Very High,3835,Poor,80.73,Critical,Immediate
42.6,Moderate,3822,Poor,56.74,Moderate,Medium-Term
82.0,Very High,3010,Good,67.21,High,Short-Term
60.5,Very High,2039,Poor,70.61,High,Short-Term
41.1,High,374,Good,42.47,Moderate,Medium-Term
70.5,Low,4853,Moderate,66.48,High,Short-Term
8.0,High,3908,Poor,46.93,Moderate,Medium-Term
89.0,Low,2108,Moderate,56.67,Moderate,Medium-Term
66.4,Low,4517,Poor,58.56,Moderate,Medium-Term
5.3,High,4482,Good,44.78,Moderate,Medium-Term
51.3,Very High,4801,Poor,75.71,High,Short-Term
35.3,High,2469,Good,40.3,Moderate,Medium-Term
92.3,High,4717,Moderate,74.15,High,Short-Term
47.3,Moderate,4792,Good,56.22,Moderate,Medium-Term
29.2,Low,2449,Moderate,28.34,Low,Monitor
50.6,High,2164,Good,53.72,Moderate,Medium-Term
27.5,High,216,Poor,39.52,Low,Monitor
17.5,Moderate,3758,Moderate,48.59,Moderate,Medium-Term
26.1,Moderate,4072,Good,48.21,Moderate,Medium-Term
86.2,High,791,Good,60.36,High,Short-Term
82.2,Very High,3482,Moderate,74.51,High,Short-Term
44.0,Moderate,1827,Poor,54.21,Moderate,Medium-Term
34.5,High,1050,Good,36.46,Low,Monitor
39.9,High,4001,Poor,72.39,High,Short-Term
92.2,Moderate,3211,Poor,76.15,High,Short-Term
47.5,Moderate,4445,Moderate,49.1,Moderate,Medium-Term
92.7,Very High,3229,Poor,83.66,Critical,Immediate
53.0,Low,897,Poor,44.59,Moderate,Medium-Term
95.6,Very High,2333,Moderate,75.12,High,Short-Term
80.2,High,4885,Moderate,76.99,High,Short-Term
67.5,Moderate,4922,Good,61.63,High,Short-Term
67.8,Moderate,2666,Poor,54.31,Moderate,Medium-Term
0.8,Low,197,Moderate,9.63,Low,Monitor
10.4,Very High,2979,Good,50.66,Moderate,Medium-Term
25.2,Low,294,Poor,23.72,Low,Monitor
93.9,Moderate,1097,Poor,72.32,High,Short-Term
8.6,Moderate,3179,Poor,47.7,Moderate,Medium-Term
64.8,Moderate,1008,Poor,49.41,Moderate,Medium-Term
29.5,Low,3814,Moderate,44.89,Moderate,Medium-Term
69.2,High,2208,Good,63.04,High,Short-Term
27.7,Low,3235,Moderate,34.96,Low,Monitor
6.0,High,1557,Moderate,31.44,Low,Monitor
97.9,Moderate,3316,Good,67.86,High,Short-Term
10.8,Very High,1889,Poor,54.88,Moderate,Medium-Term
91.3,High,946,Good,54.41,Moderate,Medium-Term
57.1,High,3752,Good,66.83,High,Short-Term
14.9,Low,409,Poor,25.35,Low,Monitor
15.2,High,3305,Poor,45.85,Moderate,Medium-Term
70.8,Very High,4016,Moderate,75.3,High,Short-Term
72.8,Low,4524,Good,46.13,Moderate,Medium-Term
95.4,Very High,1092,Poor,79.57,High,Short-Term
99.2,High,2580,Moderate,67.92,High,Short-Term
99.7,Low,3092,Poor,73.16,High,Short-Term
34.0,Very High,2475,Poor,58.3,Moderate,Medium-Term
55.4,Very High,1664,Moderate,65.18,High,Short-Term
89.6,High,4085,Good,79.36,High,Short-Term
43.8,Moderate,1246,Good,33.4,Low,Monitor
72.0,Moderate,4107,Moderate,57.14,Moderate,Medium-Term
54.1,High,4193,Poor,78.4,High,Short-Term
81.2,Low,403,Moderate,37.93,Low,Monitor
78.8,Low,3421,Good,47.15,Moderate,Medium-Term
65.4,Very High,4495,Good,76.23,High,Short-Term
23.3,Low,402,Poor,24.28,Low,Monitor
65.4,Very High,475,Good,59.51,Moderate,Medium-Term
13.1,Moderate,509,Moderate,34.25,Low,Monitor
9.7,Moderate,4941,Good,46.24,Moderate,Medium-Term
10.6,Very High,4974,Poor,60.39,High,Short-Term
80.4,Very High,2863,Poor,83.69,Critical,Immediate
32.4,Moderate,2734,Good,44.51,Moderate,Medium-Term
59.3,High,617,Good,45.1,Moderate,Medium-Term
75.8,Moderate,3130,Poor,61.44,High,Short-Term
24.4,Low,1192,Good,28.47,Low,Monitor
63.2,Very High,1392,Good,65.26,High,Short-Term
8.1,Low,1569,Good,22.92,Low,Monitor
59.4,High,3509,Poor,75.0,High,Short-Term
77.3,Moderate,1788,Good,54.45,Moderate,Medium-Term
52.3,Very High,2059,Good,59.81,Moderate,Medium-Term
3.8,Moderate,4195,Poor,53.06,Moderate,Medium-Term
62.7,High,2949,Moderate,55.81,Moderate,Medium-Term
23.6,Low,4443,Good,38.43,Low,Monitor
86.3,Moderate,3902,Poor,76.11,High,Short-Term
27.6,Moderate,1023,Good,34.71,Low,Monitor
96.9,Very High,4175,Good,76.67,High,Short-Term
92.3,Low,3083,Moderate,54.99,Moderate,Medium-Term
25.1,Very High,454,Good,45.95,Moderate,Medium-Term
92.5,Moderate,1394,Good,55.71,Moderate,Medium-Term
11.6,Moderate,3743,Poor,48.06,Moderate,Medium-Term
41.9,High,1984,Good,45.32,Moderate,Medium-Term
9.8,Very High,1738,Moderate,52.64,Moderate,Medium-Term
7.4,Very High,545,Moderate,35.09,Low,Monitor
92.8,Very High,1558,Moderate,72.69,High,Short-Term
45.8,Moderate,3037,Moderate,45.92,Moderate,Medium-Term
12.7,Low,2398,Good,18.32,Low,Monitor
46.6,Very High,1502,Moderate,53.84,Moderate,Medium-Term
29.5,Moderate,1492,Poor,51.56,Moderate,Medium-Term
85.5,Low,3472,Poor,63.89,High,Short-Term
99.6,Very High,3890,Moderate,78.65,High,Short-Term
42.8,Moderate,2130,Moderate,44.95,Moderate,Medium-Term
22.2,Moderate,4799,Good,43.65,Moderate,Medium-Term
4.4,Very High,4230,Good,48.77,Moderate,Medium-Term
39.4,Low,3806,Moderate,39.86,Low,Monitor
55.8,Low,3431,Good,37.87,Low,Monitor
29.6,Low,230,Moderate,28.98,Low,Monitor
16.2,Very High,4772,Poor,67.35,High,Short-Term
97.6,Very High,1235,Poor,78.84,High,Short-Term
79.0,High,3903,Poor,80.64,Critical,Immediate
86.0,Low,3252,Poor,60.69,High,Short-Term
3.3,Very High,2310,Poor,58.79,Moderate,Medium-Term
54.2,Moderate,763,Poor,55.86,Moderate,Medium-Term
73.6,Low,4316,Poor,61.09,High,Short-Term
5.2,Very High,3094,Moderate,52.11,Moderate,Medium-Term
36.6,Moderate,4677,Poor,52.34,Moderate,Medium-Term
70.9,Moderate,1233,Moderate,48.07,Moderate,Medium-Term
11.4,Very High,4852,Poor,60.01,High,Short-Term
74.5,Moderate,2725,Moderate,65.85,High,Short-Term
50.4,Very High,2370,Good,51.63,Moderate,Medium-Term
34.5,Very High,4207,Poor,75.42,High,Short-Term
47.0,High,3802,Poor,64.8,High,Short-Term
67.3,Low,1642,Moderate,38.52,Low,Monitor
39.1,Moderate,2462,Good,35.28,Low,Monitor
27.6,Moderate,4165,Good,50.32,Moderate,Medium-Term
52.1,Low,2501,Moderate,50.75,Moderate,Medium-Term
54.1,Moderate,3982,Moderate,56.08,Moderate,Medium-Term
73.8,Low,2488,Good,39.29,Low,Monitor
87.2,Moderate,4356,Poor,73.06,High,Short-Term
57.9,High,4082,Poor,74.49,High,Short-Term
53.0,Very High,3851,Moderate,71.03,High,Short-Term
89.8,High,1506,Moderate,63.08,High,Short-Term
37.2,High,487,Good,38.12,Low,Monitor
45.6,Moderate,1417,Poor,49.95,Moderate,Medium-Term
18.2,Moderate,1357,Good,25.61,Low,Monitor
4.1,High,4806,Good,45.21,Moderate,Medium-Term
37.0,Moderate,4707,Poor,52.09,Moderate,Medium-Term
31.7,High,1311,Moderate,45.51,Moderate,Medium-Term
97.5,High,1095,Good,62.47,High,Short-Term
49.9,Moderate,3852,Moderate,49.87,Moderate,Medium-Term
97.0,High,2521,Moderate,80.37,Critical,Immediate
97.0,Moderate,4730,Poor,87.13,Critical,Immediate
44.2,Low,4023,Good,36.29,Low,Monitor
55.1,High,303,Moderate,52.38,Moderate,Medium-Term
22.0,High,857,Moderate,34.01,Low,Monitor
64.1,Moderate,2376,Good,42.3,Moderate,Medium-Term
53.8,Very High,815,Poor,61.65,High,Short-Term
49.0,Low,3057,Moderate,38.75,Low,Monitor
85.4,High,3263,Moderate,65.14,High,Short-Term
34.5,High,3750,Poor,55.73,Moderate,Medium-Term
72.8,Very High,3504,Moderate,72.12,High,Short-Term
80.6,Very High,3493,Good,79.05,High,Short-Term
59.8,Moderate,1802,Moderate,50.23,Moderate,Medium-Term
86.8,High,641,Poor,72.29,High,Short-Term
8.8,Very High,2339,Moderate,43.24,Moderate,Medium-Term
46.2,Moderate,1732,Good,46.42,Moderate,Medium-Term
28.9,Very High,445,Moderate,53.24,Moderate,Medium-Term
30.4,Very High,1939,Good,54.56,Moderate,Medium-Term
15.4,High,3971,Good,49.23,Moderate,Medium-Term
89.3,Very High,1569,Moderate,80.04,Critical,Immediate
64.5,Low,1077,Moderate,41.77,Moderate,Medium-Term
97.1,High,4860,Moderate,84.47,Critical,Immediate
86.8,Very High,1079,Moderate,70.9,High,Short-Term
57.5,High,1434,Poor,54.05,Moderate,Medium-Term
32.0,Moderate,3027,Good,34.16,Low,Monitor
36.1,High,499,Moderate,41.3,Moderate,Medium-Term
63.9,Low,4309,Good,54.36,Moderate,Medium-Term
18.3,Low,1469,Poor,29.69,Low,Monitor
31.6,High,2323,Poor,58.77,Moderate,Medium-Term
36.3,High,1277,Good,37.5,Low,Monitor
28.1,Very High,3475,Moderate,66.46,High,Short-Term
16.3,Moderate,1366,Poor,34.46,Low,Monitor
18.8,Low,3518,Moderate,42.31,Moderate,Medium-Term
11.7,Moderate,242,Moderate,25.13,Low,Monitor
69.1,Moderate,3720,Poor,67.18,High,Short-Term
97.0,Moderate,2595,Good,66.24,High,Short-Term
11.9,Moderate,1266,Poor,32.61,Low,Monitor
12.5,Moderate,743,Moderate,32.9,Low,Monitor
78.4,Low,254,Moderate,47.58,Moderate,Medium-Term
4.3,Low,368,Poor,23.45,Low,Monitor
5.9,Low,2172,Good,14.31,Low,Monitor
66.8,Low,1114,Poor,43.38,Moderate,Medium-Term
90.1,Moderate,2979,Good,54.9,Moderate,Medium-Term
84.6,High,4849,Moderate,76.65,High,Short-Term
85.5,Moderate,4236,Poor,67.71,High,Short-Term
82.0,Low,4432,Good,60.38,High,Short-Term
96.4,Moderate,4500,Good,77.32,High,Short-Term
9.9,Moderate,4230,Poor,47.73,Moderate,Medium-Term
69.8,Moderate,3701,Poor,74.3,High,Short-Term
18.1,High,3209,Moderate,44.6,Moderate,Medium-Term
22.8,Low,2674,Good,28.63,Low,Monitor
52.0,Very High,3059,Poor,68.3,High,Short-Term
72.2,Low,2787,Moderate,45.27,Moderate,Medium-Term
28.4,High,3736,Good,51.24,Moderate,Medium-Term
29.1,Very High,1646,Good,54.59,Moderate,Medium-Term
80.2,High,1568,Good,67.82,High,Short-Term
49.2,Low,3347,Moderate,45.97,Moderate,Medium-Term
67.7,Low,1274,Moderate,42.2,Moderate,Medium-Term
59.1,Low,1482,Good,34.93,Low,Monitor
19.9,Moderate,4973,Moderate,43.32,Moderate,Medium-Term
83.8,Very High,2381,Poor,84.36,Critical,Immediate
59.4,Very High,3017,Moderate,71.53,High,Short-Term
95.0,Very High,4289,Moderate,80.77,Critical,Immediate
45.5,Low,2153,Moderate,39.5,Low,Monitor
62.8,Moderate,343,Good,45.15,Moderate,Medium-Term
83.0,Very High,319,Good,59.95,Moderate,Medium-Term
67.9,Moderate,2580,Poor,63.81,High,Short-Term
76.0,Very High,3917,Good,70.47,High,Short-Term
49.8,High,4543,Moderate,70.55,High,Short-Term
54.1,Low,358,Moderate,41.45,Moderate,Medium-Term
11.9,Very High,2676,Moderate,49.95,Moderate,Medium-Term
3.6,Moderate,4660,Poor,53.42,Moderate,Medium-Term
30.3,Moderate,4126,Moderate,43.76,Moderate,Medium-Term
71.6,Very High,996,Poor,73.09,High,Short-Term
66.0,Very High,3998,Poor,86.01,Critical,Immediate
50.7,Very High,2257,Moderate,64.23,High,Short-Term
37.8,High,2430,Moderate,45.93,Moderate,Medium-Term
59.0,Moderate,3101,Moderate,60.5,High,Short-Term
58.4,High,3217,Good,57.66,Moderate,Medium-Term
99.2,Very High,2977,Good,80.71,Critical,Immediate
24.8,High,4954,Good,60.57,High,Short-Term
6.6,High,1037,Moderate,31.18,Low,Monitor
53.8,Low,3875,Poor,60.39,High,Short-Term
56.8,Very High,2284,Good,63.66,High,Short-Term
58.8,High,3194,Poor,66.85,High,Short-Term
57.3,Very High,919,Poor,67.78,High,Short-Term
33.6,High,1465,Poor,49.66,Moderate,Medium-Term
96.9,Moderate,4171,Poor,83.91,Critical,Immediate
78.7,Moderate,2454,Moderate,52.62,Moderate,Medium-Term
99.6,Very High,1950,Poor,87.8,Critical,Immediate
9.2,Low,4948,Moderate,34.38,Low,Monitor
56.6,Very High,3598,Good,63.26,High,Short-Term
7.7,High,4234,Moderate,48.56,Moderate,Medium-Term
54.0,Moderate,3494,Moderate,51.4,Moderate,Medium-Term
51.5,Moderate,252,Poor,50.03,Moderate,Medium-Term
86.3,Very High,1844,Poor,86.22,Critical,Immediate
74.2,Very High,2294,Poor,76.92,High,Short-Term
61.4,Very High,4737,Poor,83.72,Critical,Immediate
52.2,High,3888,Good,55.17,Moderate,Medium-Term
74.6,High,3666,Moderate,67.87,High,Short-Term
83.0,Low,1767,Moderate,47.39,Moderate,Medium-Term
28.7,Moderate,2200,Poor,48.21,Moderate,Medium-Term
40.6,Low,1328,Good,22.46,Low,Monitor
79.7,High,3902,Moderate,74.46,High,Short-Term
43.6,Low,1754,Good,29.14,Low,Monitor
2.9,High,4611,Good,47.27,Moderate,Medium-Term
4.2,Very High,263,Good,39.77,Low,Monitor
8.4,High,620,Moderate,41.77,Moderate,Medium-Term
67.2,Low,3351,Poor,62.65,High,Short-Term
23.6,Low,4375,Poor,51.27,Moderate,Medium-Term
95.0,High,4166,Good,71.22,High,Short-Term
12.2,High,2797,Poor,54.51,Moderate,Medium-Term
80.6,Moderate,3564,Good,54.78,Moderate,Medium-Term
17.5,High,3700,Moderate,46.99,Moderate,Medium-Term
58.9,Very High,4470,Moderate,77.69,High,Short-Term
11.3,Very High,3990,Poor,57.1,Moderate,Medium-Term
27.8,Moderate,3073,Moderate,47.97,Moderate,Medium-Term
82.1,Low,385,Poor,53.12,Moderate,Medium-Term
94.1,Moderate,2172,Poor,67.53,High,Short-Term
63.9,High,1099,Poor,67.88,High,Short-Term
85.8,Very High,164,Moderate,73.53,High,Short-Term
91.8,High,839,Good,57.75,Moderate,Medium-Term
85.9,Moderate,3695,Poor,69.66,High,Short-Term
81.2,Very High,377,Moderate,71.79,High,Short-Term
82.3,Very High,3959,Poor,84.5,Critical,Immediate
84.1,Very High,922,Good,67.8,High,Short-Term
50.6,High,3547,Poor,70.82,High,Short-Term
54.8,High,3813,Poor,62.12,High,Short-Term
5.2,Moderate,3732,Poor,38.68,Low,Monitor
40.1,High,2670,Poor,53.28,Moderate,Medium-Term
15.8,Moderate,4966,Poor,51.71,Moderate,Medium-Term
93.9,Very High,4018,Poor,84.33,Critical,Immediate
17.3,High,2408,Good,34.54,Low,Monitor
36.8,Very High,3191,Poor,62.48,High,Short-Term
94.8,Moderate,828,Moderate,54.16,Moderate,Medium-Term
70.1,Moderate,507,Moderate,50.95,Moderate,Medium-Term
60.0,Moderate,829,Moderate,41.54,Moderate,Medium-Term
56.7,Low,4407,Moderate,56.84,Moderate,Medium-Term
92.8,Very High,1070,Good,71.68,High,Short-Term
19.1,High,2458,Poor,51.68,Moderate,Medium-Term
13.0,Moderate,1865,Moderate,38.14,Low,Monitor
18.9,Moderate,3446,Good,30.86,Low,Monitor
97.6,Moderate,3794,Good,65.25,High,Short-Term
68.4,Very High,802,Good,58.15,Moderate,Medium-Term
87.1,Very High,1838,Poor,77.23,High,Short-Term
42.3,High,698,Good,44.01,Moderate,Medium-Term
5.2,Moderate,3957,Moderate,48.1,Moderate,Medium-Term
93.9,Low,143,Moderate,48.51,Moderate,Medium-Term
38.1,Very High,3138,Good,64.88,High,Short-Term
56.0,Moderate,2232,Good,46.59,Moderate,Medium-Term
93.0,Very High,1180,Good,65.85,High,Short-Term
53.0,Moderate,2233,Good,42.49,Moderate,Medium-Term
97.9,Very High,2401,Poor,82.89,Critical,Immediate
43.0,High,2260,Poor,56.35,Moderate,Medium-Term
89.3,High,4124,Good,74.14,High,Short-Term
92.3,Very High,535,Good,60.32,High,Short-Term
23.0,Low,3952,Moderate,33.48,Low,Monitor
46.7,Low,4154,Good,42.52,Moderate,Medium-Term
98.9,Very High,3849,Moderate,79.81,High,Short-Term
72.0,Moderate,1112,Moderate,45.65,Moderate,Medium-Term
86.8,Moderate,1478,Poor,64.18,High,Short-Term
27.3,Moderate,4880,Good,47.5,Moderate,Medium-Term
57.1,Very High,729,Good,58.69,Moderate,Medium-Term
67.7,High,312,Moderate,57.84,Moderate,Medium-Term
68.1,Very High,3160,Poor,84.59,Critical,Immediate
10.6,High,1359,Good,27.95,Low,Monitor
83.1,Very High,3819,Poor,92.89,Critical,Immediate
59.4,Low,2798,Good,44.98,Moderate,Medium-Term
95.1,High,4762,Good,73.21,High,Short-Term
4.9,High,2747,Good,42.1,Moderate,Medium-Term
54.7,Very High,858,Moderate,54.66,Moderate,Medium-Term
24.0,Very High,830,Good,48.86,Moderate,Medium-Term
16.3,Very High,2434,Poor,60.73,High,Short-Term
65.4,Low,2545,Moderate,52.89,Moderate,Medium-Term
73.6,High,1175,Moderate,63.11,High,Short-Term
83.2,Moderate,4110,Moderate,74.23,High,Short-Term
47.6,Very High,839,Moderate,61.0,High,Short-Term
61.4,Very High,3589,Good,60.0,High,Short-Term
34.2,Very High,1936,Poor,63.94,High,Short-Term
15.5,Very High,4419,Poor,66.71,High,Short-Term
8.4,Very High,3682,Good,55.69,Moderate,Medium-Term
